;latitude
0;1.07
1;1.084274
2;1.057166
3;1.04773
4;1.065716
5;1.041416
6;1.038639
7;1.036857
8;0.868641
9;1.065805
10;1.048025
11;1.057381
12;1.063048
13;1.040239
14;1.056815
15;1.034599
16;2.127307
17;2.127548
18;2.143719
19;2.151667
20;2.214701
21;2.241667
22;2.225758
23;2.218681
24;2.217883
25;2.242962
26;2.21413
27;0.929414
28;0.927162
29;0.953822
30;2.118608
31;2.118697
32;2.107795
33;2.104085
34;2.112195
35;2.120676
36;1.023333
37;1.024147
38;1.006627
39;1.019354
40;1.029212
41;1.022674
42;1.015909
43;0.992993
44;1.090682
45;1.09804
46;1.455676
47;1.450535
48;1.422304
49;1.394306
50;1.384564
51;1.4211
52;1.377648
53;1.164711
54;1.153495
55;1.200374
56;1.146283
57;1.150071
58;1.159718
59;1.181142
60;1.127571
61;1.076856
62;1.114703
63;1.092101
64;1.111367
65;1.134746
66;1.065993
67;1.092889
68;1.0937
69;0.917682
70;0.900094
71;0.896029
72;0.881531
73;0.93579
74;1.011667
75;1.0094722219999999
76;1.006305556
77;1.021916667
78;2.266568
79;2.290085
80;2.287041
81;2.270933
82;2.290763
83;2.2624
84;2.25384
85;2.247654
86;2.280735
87;2.280961
88;2.283333
89;1.606778
90;1.266747
91;1.290396
92;1.331814
93;1.318279
94;1.269591
95;1.18799
96;1.236285
97;2.138602
98;2.125266
99;2.210353
100;2.195357
101;2.169481
102;2.203374
103;1.094469
104;1.121866
105;1.076162
106;1.139867
107;1.097764
108;1.096624
109;1.125725
110;1.046017
111;1.022543
112;1.024051
113;1.035918
114;1.072761
115;1.087089
116;1.060137
117;1.054398
118;1.029085
119;1.03055
120;1.025616
121;1.415941
122;1.359976
123;1.374254
124;1.378454
125;1.398937
126;1.430506
127;1.373519
128;1.323152
129;1.39284
130;1.398333
131;2.282333
132;2.275477
133;2.242301
134;2.325449
135;2.241507
136;2.273096
137;2.264148
138;2.306992
139;2.050126
140;2.062803
141;2.057254
142;2.056422
143;2.046249
144;2.054531
145;2.097136
146;2.10245
147;2.09706
148;2.103587
149;2.095482
150;2.114053
151;1.834282
152;1.819059
153;1.844414
154;1.849699
155;1.805805
156;1.862419
