;latitude
0;1.070.000.000
1;1.084.274.000
2;1.057.166.000
3;1.047.730.000
4;1.065.716.000
5;1.041.416.000
6;1.038.639.000
7;1.036.857.000
8;868.641.000
9;1.065.805.000
10;1.048.025.000
11;1.057.381.000
12;1.063.048.000
13;1.040.239.000
14;1.056.815.000
15;1.034.599.000
16;2.127.307.000
17;2.127.548.000
18;2.143.719.000
19;2.151.667.000
20;2.214.701.000
21;2.241.667.000
22;2.225.758.000
23;2.218.681.000
24;2.217.883.000
25;2.242.962.000
26;2.214.130.000
27;929.414.000
28;927.162.000
29;953.822.000
30;2.118.608.000
31;2.118.697.000
32;2.107.795.000
33;2.104.085.000
34;2.112.195.000
35;2.120.676.000
36;1.023.333.000
37;1.024.147.000
38;1.006.627.000
39;1.019.354.000
40;1.029.212.000
41;1.022.674.000
42;1.015.909.000
43;992.993.000
44;1.090.682.000
45;1.098.040.000
46;1.455.676.000
47;1.450.535.000
48;1.422.304.000
49;1.394.306.000
50;1.384.564.000
51;1.421.100.000
52;1.377.648.000
53;1.164.711.000
54;1.153.495.000
55;1.200.374.000
56;1.146.283.000
57;1.150.071.000
58;1.159.718.000
59;1.181.142.000
60;1.127.571.000
61;1.076.856.000
62;1.114.703.000
63;1.092.101.000
64;1.111.367.000
65;1.134.746.000
66;1.065.993.000
67;1.092.889.000
68;1.093.700.000
69;917.682.000
70;900.094.000
71;896.029.000
72;881.531.000
73;935.790.000
74;1.011.667.000
75;1.009.472.222
76;1.006.305.556
77;1.021.916.667
78;2.266.568.000
79;2.290.085.000
80;2.287.041.000
81;2.270.933.000
82;2.290.763.000
83;2.262.400.000
84;2.253.840.000
85;2.247.654.000
86;2.280.735.000
87;2.280.961.000
88;2.283.333.000
89;1.606.778.000
90;1.266.747.000
91;1.290.396.000
92;1.331.814.000
93;1.318.279.000
94;1.269.591.000
95;1.187.990.000
96;1.236.285.000
97;2.138.602.000
98;2.125.266.000
99;2.210.353.000
100;2.195.357.000
101;2.169.481.000
102;2.203.374.000
103;1.094.469.000
104;1.121.866.000
105;1.076.162.000
106;1.139.867.000
107;1.097.764.000
108;1.096.624.000
109;1.125.725.000
110;1.046.017.000
111;1.022.543.000
112;1.024.051.000
113;1.035.918.000
114;1.072.761.000
115;1.087.089.000
116;1.060.137.000
117;1.054.398.000
118;1.029.085.000
119;1.030.550.000
120;1.025.616.000
121;1.415.941.000
122;1.359.976.000
123;1.374.254.000
124;1.378.454.000
125;1.398.937.000
126;1.430.506.000
127;1.373.519.000
128;1.323.152.000
129;1.392.840.000
130;1.398.333.000
131;2.282.333.000
132;2.275.477.000
133;2.242.301.000
134;2.325.449.000
135;2.241.507.000
136;2.273.096.000
137;2.264.148.000
138;2.306.992.000
139;2.050.126.000
140;2.062.803.000
141;2.057.254.000
142;2.056.422.000
143;2.046.249.000
144;2.054.531.000
145;2.097.136.000
146;2.102.450.000
147;2.097.060.000
148;2.103.587.000
149;2.095.482.000
150;2.114.053.000
151;1.834.282.000
152;1.819.059.000
153;1.844.414.000
154;1.849.699.000
155;1.805.805.000
156;1.862.419.000
157;1.835.091.000
158;2.094.099.000
159;2.087.586.000
160;2.095.000.000
161;2.085.164.000
162;2.101.634.000
163;2.100.484.000
164;2.077.953.000
165;2.113.722.000
166;2.072.779.000
167;2.086.481.000
168;993.056.000
169;978.449.000
170;1.041.115.000
171;1.097.333.000
172;1.082.302.000
173;2.081.717.000
174;2.069.532.000
175;2.089.631.000
176;2.049.794.000
177;2.087.650.000
178;2.060.557.000
179;2.064.637.000
180;2.081.086.000
181;2.082.170.000
182;2.074.645.000
183;2.093.210.000
184;2.070.997.000
185;2.068.490.000
186;1.192.144.000
187;1.227.341.000
188;1.202.858.000
189;1.230.593.000
190;1.272.344.000
191;1.224.507.000
192;1.190.707.000
193;1.225.458.000
194;1.253.796.000
195;1.021.716.000
196;1.038.310.000
197;981.291.000
198;966.704.000
199;994.372.000
200;991.224.000
201;974.027.000
202;1.022.908.000
203;983.971.000
204;1.025.516.000
205;1.009.540.000
206;953.306.000
207;1.024.892.000
208;1.001.245.000
209;1.511.358.000
210;1.460.326.000
211;1.470.087.000
212;1.406.032.000
213;1.475.620.000
214;1.471.940.000
215;1.432.050.000
216;1.435.451.000
217;2.237.443.000
218;2.235.391.000
219;2.191.424.000
220;1.154.798.000
221;1.205.409.000
222;1.178.624.000
223;1.173.559.000
