;longitude
0;10.511667
1;10.50899
2;10.516991
3;10.549092
4;10.528459
5;10.496136
6;10.543518
7;10.54234
8;10.660824
9;10.725098
10;10.727879
11;10.710189
12;10.746568
13;10.714239
14;10.712999
15;10.708426
16;10.61946
17;10.646519
18;10.665845
19;10.611689
20;10.583481
21;10.575
22;10.583295
23;10.55728
24;10.611221
25;10.60103
26;10.583867
27;10.572776
28;10.540017
29;10.542242
30;10.607631
31;10.616076
32;10.620903
33;10.607515
34;10.603995
35;10.599427
36;10.628333
37;10.637585
38;10.660554
39;10.664455
40;10.630827
41;10.617077
42;10.647004
43;10.654316
44;10.67694
45;10.66519
46;10.8801
47;10.902315
48;10.908611
49;10.887999
50;10.915275
51;10.874389
52;10.922367
53;10.660586
54;10.688324
55;10.681545
56;10.666655
57;10.701192
58;10.662739
59;10.69967
60;10.838506
61;10.764233
62;10.808172
63;10.793325
64;10.768427
65;10.870466
66;10.777206
67;10.810208
68;10.815778
69;10.515242
70;10.504201
71;10.524107
72;10.505574
73;10.516023
74;10.55
75;10.543194444000001
76;10.556083333
77;10.540111111
78;10.625786
79;10.573332
80;10.54878
81;10.667657
82;10.612487
83;10.593248
84;10.651039
85;10.634237
86;10.595846
87;10.632543
88;10.656074
89;10.822083
90;10.803775
91;10.77387
92;10.807148
93;10.779954
94;10.776316
95;10.752244
96;10.783445
97;10.302301
98;10.3269
99;10.258465
100;10.337332
101;10.341758
102;10.312331
103;10.682432
104;10.733959
105;10.702688
106;10.739976
107;10.715909
108;10.703614
109;10.702773
110;10.563294
111;10.58238
112;10.566327
113;10.560611
114;10.552522
115;10.549104
116;10.547811
117;10.581875
118;10.575635
119;10.574757
120;10.55928
121;10.798411
122;10.781099
123;10.808663
124;10.76697
125;10.77374
126;10.849779
127;10.859697
128;10.865494
129;10.830246
130;10.8
131;10.498357
132;10.529023
133;10.491831
134;10.527626
135;10.466018
136;10.490827
137;10.452089
138;10.517865
139;10.602959
140;10.596193
141;10.585043
142;10.609455
143;10.5921
144;10.591221
145;10.577876
146;10.584117
147;10.561127
148;10.582163
149;10.576851
150;10.550686
151;10.590569
152;10.600186
153;10.57635
154;10.561016
155;10.62458
156;10.576829
157;10.581123
158;10.633302
159;10.619138
160;10.621667
161;10.62913
162;10.650384
163;10.634042
164;10.622218
165;10.639638
166;10.704819
167;10.668345
168;10.564194
169;10.547012
170;10.695474
171;10.649325
172;10.662965
173;10.533759
174;10.533559
175;10.539659
176;10.574092
177;10.551219
178;10.523399
179;10.605112
180;10.609995
181;10.597455
182;10.603632
183;10.61063
184;10.619744
185;10.612513
186;10.915913
187;10.90389
188;10.890814
189;10.883073
190;10.924586
191;10.919432
192;10.914861
193;10.916655
194;10.906057
195;10.395929
196;10.448753
197;10.50523
198;10.494848
199;10.516868
200;10.537311
201;10.529766
202;10.49528
203;10.46156
204;10.401455
205;10.525936
206;10.52449
207;10.459
208;10.508091
209;10.775093
210;10.798547
211;10.780816
212;10.746243
213;10.832057
214;10.762636
215;10.759862
216;10.800759
